,model,prompt_id,mean_model_score,mean_gain_diff,composite_z
74,llama3.1:70b,7,0.208457025404077,0.13173277578357034,-1.1080581466341641
75,deepseek-r1:32b,0,0.19951759496249377,0.10947199546039182,-1.322956909195251
76,deepseek-r1:8b,5,0.20005910057299592,0.11944744847376865,-1.4851806893681516
77,deepseek-r1:14b,0,0.19629150769961579,0.10681547388356553,-1.509733986523753
78,deepseek-r1:70b,7,0.20010791049547194,0.1251654107600805,-1.5976879041191527
79,llama3.1:70b,1,0.20697581568515588,0.15097274422484927,-1.6094133905764154
80,deepseek-r1:8b,6,0.19636146080382932,0.11420051703764028,-1.6545270214462282
81,deepseek-r1:8b,4,0.19387151060992416,0.11219533496824746,-1.7996023050751682
82,llama3.1:70b,6,0.20676397459791074,0.17206875664788107,-2.0537469572213176
83,llama3.1:8b,10,0.20119401177786483,0.1642869630376373,-2.311320137198861
84,deepseek-r1:14b,7,0.19026956304873904,0.12940315218917314,-2.417933391634976
85,llama3.3:70b,5,0.20216724391239949,0.1740604093090567,-2.4372239453325273
86,llama3.1:8b,6,0.19556507494428466,0.15514881043169299,-2.5457422595077768
87,llama3.3:70b,1,0.2011790459093643,0.17784701970388136,-2.587883722403816
88,llama3.3:70b,7,0.19912222909733665,0.1817860040188762,-2.821381882081587
89,llama3.3:70b,0,0.19893985485711752,0.18186519507302965,-2.8365997518745587
90,llama3.1:8b,0,0.19670010207577715,0.1767009291380637,-2.8988338472526247
91,llama3.3:70b,2,0.19632217656341708,0.1815067444063979,-3.024656668458073
92,llama3.3:70b,6,0.19477226688816995,0.1812097644921609,-3.134282494225504
93,llama3.3:70b,8,0.188565600000284,0.18222662557964087,-3.618096191961679
94,llama3.3:70b,10,0.18540256397334567,0.18151999612809921,-3.839776571741682
95,llama3.3:70b,4,0.18133968923875143,0.18198717248125404,-4.152448959584934
